subject_id,object_id,subject_id_prefix,object_id_prefix,subject_name,object_name,predicate,Primary_Knowledge_Source,Knowledge_Source,publications,subject_category,object_category
3357,P41595,NCBIGene,UNIPROT,HTR2B,5HT2B_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
3358,P28335,NCBIGene,UNIPROT,HTR2C,5HT2C_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
3359,P46098,NCBIGene,UNIPROT,HTR3A,5HT3A_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
9177,O95264,NCBIGene,UNIPROT,HTR3B,5HT3B_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
170572,Q8WXA8,NCBIGene,UNIPROT,HTR3C,5HT3C_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
200909,Q70Z44,NCBIGene,UNIPROT,HTR3D,5HT3D_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
285242,A5X5Y0,NCBIGene,UNIPROT,HTR3E,5HT3E_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
3360,Q13639,NCBIGene,UNIPROT,HTR4,5HT4R_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
3361,P47898,NCBIGene,UNIPROT,HTR5A,5HT5A_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
3362,P50406,NCBIGene,UNIPROT,HTR6,5HT6R_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
3363,P34969,NCBIGene,UNIPROT,HTR7,5HT7R_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
28969,Q9Y6E2,NCBIGene,UNIPROT,BZW2,5MP1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
9689,Q7L1Q6,NCBIGene,UNIPROT,BZW1,5MP2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
84618,Q9BXI3,NCBIGene,UNIPROT,NT5C1A,5NT1A_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
100526794,Q96P26,NCBIGene,UNIPROT,NT5C1B-RDH14,5NT1B_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
93034,Q96P26,NCBIGene,UNIPROT,NT5C1B,5NT1B_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
51251,Q9H0P0,NCBIGene,UNIPROT,NT5C3A,5NT3A_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
115024,Q969T7,NCBIGene,UNIPROT,NT5C3B,5NT3B_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
22978,P49902,NCBIGene,UNIPROT,NT5C2,5NTC_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
4907,P21589,NCBIGene,UNIPROT,NT5E,5NTD_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5226,P52209,NCBIGene,UNIPROT,PGD,6PGD_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
25796,O95336,NCBIGene,UNIPROT,PGLS,6PGL_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
6447,P05408,NCBIGene,UNIPROT,SCG5,7B2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
4521,P36639,NCBIGene,UNIPROT,NUDT1,8ODP_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
644100,P0DKL9,NCBIGene,UNIPROT,ARL14EPL,A14EL_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
126133,Q8IZ83,NCBIGene,UNIPROT,ALDH16A1,A16A1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
55054,Q676U5,NCBIGene,UNIPROT,ATG16L1,A16L1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
89849,Q8NAA4,NCBIGene,UNIPROT,ATG16L2,A16L2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5004,P02763,NCBIGene,UNIPROT,ORM1,A1AG1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5005,P19652,NCBIGene,UNIPROT,ORM2,A1AG2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
390502,P20848,NCBIGene,UNIPROT,SERPINA2,A1ATR_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5265,P01009,NCBIGene,UNIPROT,SERPINA1,A1AT_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
1,P04217,NCBIGene,UNIPROT,A1BG,A1BG_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
29974,Q9NQ94,NCBIGene,UNIPROT,A1CF,A1CF_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
84210,Q5TYW2,NCBIGene,UNIPROT,ANKRD20A1,A20A1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5345,P08697,NCBIGene,UNIPROT,SERPINF2,A2AP_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
116844,P02750,NCBIGene,UNIPROT,LRG1,A2GL_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
2,P01023,NCBIGene,UNIPROT,A2M,A2MG_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
144568,A8K2U0,NCBIGene,UNIPROT,A2ML1,A2ML1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
127550,U3KPV4,NCBIGene,UNIPROT,A3GALT2,A3LT2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
53947,Q9NPC4,NCBIGene,UNIPROT,A4GALT,A4GAT_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
51146,Q9UNA3,NCBIGene,UNIPROT,A4GNT,A4GCT_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
351,P05067,NCBIGene,UNIPROT,APP,A4_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
552889,Q96GX2,NCBIGene,UNIPROT,ATXN7L3B,A7L3B_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
134,P30542,NCBIGene,UNIPROT,ADORA1,AA1R_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
135,P29274,NCBIGene,UNIPROT,ADORA2A,AA2AR_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
136,P29275,NCBIGene,UNIPROT,ADORA2B,AA2BR_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
140,P0DMS8,NCBIGene,UNIPROT,ADORA3,AA3R_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
56301,Q9NS82,NCBIGene,UNIPROT,SLC7A10,AAA1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
13,P22760,NCBIGene,UNIPROT,AADAC,AAAD_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
8086,Q9NRG9,NCBIGene,UNIPROT,AAAS,AAAS_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
6510,Q15758,NCBIGene,UNIPROT,SLC1A5,AAAT_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
65985,Q86V21,NCBIGene,UNIPROT,AACS,AACS_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
12,P01011,NCBIGene,UNIPROT,SERPINA3,AACT_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
51166,Q8N5Z0,NCBIGene,UNIPROT,AADAT,AADAT_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
79719,Q6PD74,NCBIGene,UNIPROT,AAGAB,AAGAB_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
22848,Q2M2I8,NCBIGene,UNIPROT,AAK1,AAK1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5564,Q9Y478,NCBIGene,UNIPROT,PRKAB1,AAKB1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5565,O43741,NCBIGene,UNIPROT,PRKAB2,AAKB2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
