index,name,uniprot,gene_name,outlier_frequency_in_diabetes,outlier_frequency_in_pre_diab
CVD3_P42574,CVD3_P42574,P42574,CASP3,0.025210084033613446,0.021505376344086023
CVD3_P54760,CVD3_P54760,P54760,EPHB4,0.058823529411764705,0.03225806451612903
CVD3_P56470,CVD3_P56470,P56470,LGALS4,0.18487394957983194,0.12903225806451613
CVD3_P78324,CVD3_P78324,P78324,SIRPA,0.01680672268907563,0.010752688172043012
CVD3_P80370,CVD3_P80370,P80370,DLK1,0.03361344537815126,0.03225806451612903
CVD3_P98160,CVD3_P98160,P98160,HSPG2,0.07563025210084033,0.03225806451612903
CVD3_Q01638,CVD3_Q01638,Q01638,IL1RL1,0.05042016806722689,0.010752688172043012
CVD3_Q03405,CVD3_Q03405,Q03405,PLAUR,0.08403361344537816,0.07526881720430108
CVD3_Q07654,CVD3_Q07654,Q07654,TFF3,0.06722689075630252,0.021505376344086023
CVD3_Q12860,CVD3_Q12860,Q12860,CNTN1,0.025210084033613446,0.0
CVD3_Q13231,CVD3_Q13231,Q13231,CHIT1,0.058823529411764705,0.021505376344086023
CVD3_Q13740,CVD3_Q13740,Q13740,ALCAM,0.06722689075630252,0.043010752688172046
CVD3_Q13867,CVD3_Q13867,Q13867,BLMH,0.025210084033613446,0.03225806451612903
CVD3_Q15166,CVD3_Q15166,Q15166,PON3,0.0,0.0
CVD3_Q16270,CVD3_Q16270,Q16270,IGFBP7,0.09243697478991597,0.053763440860215055
CVD3_Q16663,CVD3_Q16663,Q16663,CCL15,0.11764705882352941,0.10752688172043011
CVD3_Q5T2D2,CVD3_Q5T2D2,Q5T2D2,TREML2,0.01680672268907563,0.03225806451612903
CVD3_Q86VB7,CVD3_Q86VB7,Q86VB7,CD163,0.12605042016806722,0.03225806451612903
CVD3_Q8NBP7,CVD3_Q8NBP7,Q8NBP7,PCSK9,0.07563025210084033,0.03225806451612903
CVD3_Q92876,CVD3_Q92876,Q92876,KLK6,0.025210084033613446,0.021505376344086023
CVD3_Q92956,CVD3_Q92956,Q92956,TNFRSF14,0.07563025210084033,0.06451612903225806
CVD3_Q96F46,CVD3_Q96F46,Q96F46,IL17RA,0.03361344537815126,0.043010752688172046
CVD3_Q96PL1,CVD3_Q96PL1,Q96PL1,SCGB3A2,0.025210084033613446,0.010752688172043012
CVD3_Q99727,CVD3_Q99727,Q99727,TIMP4,0.05042016806722689,0.06451612903225806
CVD3_Q99969,CVD3_Q99969,Q99969,RARRES2,0.01680672268907563,0.053763440860215055
CVD3_Q99988,CVD3_Q99988,Q99988,GDF15,0.3025210084033613,0.15053763440860216
CVD3_Q9H2A7,CVD3_Q9H2A7,Q9H2A7,CXCL16,0.08403361344537816,0.10752688172043011
CVD3_Q9HCB6,CVD3_Q9HCB6,Q9HCB6,SPON1,0.058823529411764705,0.03225806451612903
CVD3_Q9HCN6,CVD3_Q9HCN6,Q9HCN6,GP6,0.0,0.0
CVD3_Q9HD89,CVD3_Q9HD89,Q9HD89,RETN,0.025210084033613446,0.021505376344086023
CVD3_Q9NPY3,CVD3_Q9NPY3,Q9NPY3,CD93,0.008403361344537815,0.021505376344086023
CVD3_Q9NQ76,CVD3_Q9NQ76,Q9NQ76,MEPE,0.0,0.010752688172043012
CVD3_Q9UBR2,CVD3_Q9UBR2,Q9UBR2,CTSZ,0.058823529411764705,0.06451612903225806
CVD3_Q9UM47,CVD3_Q9UM47,Q9UM47,NOTCH3,0.025210084033613446,0.021505376344086023
CVD3_Q9Y275,CVD3_Q9Y275,Q9Y275,TNFSF13B,0.025210084033613446,0.03225806451612903
CVD3_Q9Y624,CVD3_Q9Y624,Q9Y624,F11R,0.04201680672268908,0.03225806451612903
DEV_O00241,DEV_O00241,O00241,SIRPB1,0.0,0.0
DEV_O00339,DEV_O00339,O00339,MATN2,0.0,0.0
DEV_O00585,DEV_O00585,O00585,CCL21,0.0,0.0
DEV_O14773,DEV_O14773,O14773,TPP1,0.0,0.0
DEV_O43278,DEV_O43278,O43278,SPINT1,0.0,0.0
DEV_O43291,DEV_O43291,O43291,SPINT2,0.0,0.0
DEV_O43405,DEV_O43405,O43405,COCH,0.0,0.0
DEV_O43464,DEV_O43464,O43464,HTRA2,0.0,0.0
DEV_O43505,DEV_O43505,O43505,B3GNT1,0.0,0.0
DEV_O75326,DEV_O75326,O75326,SEMA7A,0.0,0.0
DEV_O95633,DEV_O95633,O95633,FSTL3,0.0,0.0
DEV_O95721,DEV_O95721,O95721,SNAP29,0.0,0.0
DEV_P00918,DEV_P00918,P00918,CA2,0.0,0.0
DEV_P00995,DEV_P00995,P00995,SPINK1,0.0,0.0
DEV_P01215,DEV_P01215,P01215,CGA,0.0,0.0
DEV_P04066,DEV_P04066,P04066,FUCA1,0.0,0.0
DEV_P04233,DEV_P04233,P04233,CD74,0.0,0.0
DEV_P05067,DEV_P05067,P05067,APP,0.0,0.0
DEV_P05556,DEV_P05556,P05556,ITGB1,0.0,0.0
DEV_P06734,DEV_P06734,P06734,FCER2,0.0,0.0
DEV_P07237,DEV_P07237,P07237,P4HB,0.0,0.0
DEV_P08118,DEV_P08118,P08118,MSMB,0.0,0.0
DEV_P08236,DEV_P08236,P08236,GUSB,0.0,0.0
DEV_P08648,DEV_P08648,P08648,ITGA5,0.0,0.0
DEV_P09619,DEV_P09619,P09619,PDGFRB,0.0,0.0
DEV_P10586,DEV_P10586,P10586,PTPRF,0.0,0.0
DEV_P11717,DEV_P11717,P11717,IGF2R,0.0,0.0
DEV_P14174,DEV_P14174,P14174,MIF,0.0,0.0
DEV_P15289,DEV_P15289,P15289,ARSA,0.0,0.0
DEV_P15291,DEV_P15291,P15291,B4GALT1,0.0,0.0
DEV_P16112,DEV_P16112,P16112,ACAN,0.0,0.0
DEV_P19256,DEV_P19256,P19256,CD58,0.0,0.0
DEV_P23280,DEV_P23280,P23280,CA6,0.0,0.0
DEV_P23284,DEV_P23284,P23284,PPIB,0.0,0.0
DEV_P24387,DEV_P24387,P24387,CRHBP,0.0,0.0
DEV_P29350,DEV_P29350,P29350,PTPN6,0.0,0.0
DEV_P30043,DEV_P30043,P30043,BLVRB,0.0,0.0
DEV_P30086,DEV_P30086,P30086,PEBP1,0.0,0.0
DEV_P31948,DEV_P31948,P31948,STIP1,0.0,0.0
DEV_P47712,DEV_P47712,P47712,PLA2G4A,0.0,0.0
DEV_P48745,DEV_P48745,P48745,NOV,0.0,0.0
DEV_P48960,DEV_P48960,P48960,CD97,0.0,0.0
DEV_P50895,DEV_P50895,P50895,BCAM,0.0,0.0
DEV_P55103,DEV_P55103,P55103,INHBC,0.0,0.0
DEV_P55808,DEV_P55808,P55808,XG,0.0,0.0
DEV_P63313,DEV_P63313,P63313,TMSB10,0.0,0.0
DEV_P78552,DEV_P78552,P78552,IL13RA1,0.0,0.0
DEV_Q02487,DEV_Q02487,Q02487,DSC2,0.0,0.0
DEV_Q07108,DEV_Q07108,Q07108,CD69,0.0,0.0
DEV_Q08431,DEV_Q08431,Q08431,MFGE8,0.0,0.0
DEV_Q10588,DEV_Q10588,Q10588,BST1,0.0,0.0
"DEV_Q11128,P21217","DEV_Q11128,P21217","Q11128,P21217","FUT5,FUT3",0.0,0.0
DEV_Q14112,DEV_Q14112,Q14112,NID2,0.0,0.0
DEV_Q14118,DEV_Q14118,Q14118,DAG1,0.0,0.0
DEV_Q14162,DEV_Q14162,Q14162,SCARF1,0.0,0.0
DEV_Q14696,DEV_Q14696,Q14696,MESDC2,0.0,0.0
DEV_Q15828,DEV_Q15828,Q15828,CST6,0.0,0.0
DEV_Q16363,DEV_Q16363,Q16363,LAMA4,0.0,0.0
DEV_Q4KMG0,DEV_Q4KMG0,Q4KMG0,CDON,0.0,0.0
DEV_Q5KU26,DEV_Q5KU26,Q5KU26,COLEC12,0.0,0.0
DEV_Q5VY43,DEV_Q5VY43,Q5VY43,PEAR1,0.0,0.0
DEV_Q6GTX8,DEV_Q6GTX8,Q6GTX8,LAIR1,0.0,0.0
DEV_Q6UXG3,DEV_Q6UXG3,Q6UXG3,CD300LG,0.0,0.0
DEV_Q6UXH1,DEV_Q6UXH1,Q6UXH1,CRELD2,0.0,0.0
DEV_Q6UXH9,DEV_Q6UXH9,Q6UXH9,PAMR1,0.0,0.0
DEV_Q6YHK3,DEV_Q6YHK3,Q6YHK3,CD109,0.0,0.0
DEV_Q86T13,DEV_Q86T13,Q86T13,CLEC14A,0.0,0.0
DEV_Q8IWV2,DEV_Q8IWV2,Q8IWV2,CNTN4,0.0,0.0
DEV_Q8N6Q3,DEV_Q8N6Q3,Q8N6Q3,CD177,0.0,0.0
DEV_Q8TCZ2,DEV_Q8TCZ2,Q8TCZ2,CD99L2,0.0,0.0
DEV_Q8TDQ0,DEV_Q8TDQ0,Q8TDQ0,HAVCR2,0.0,0.0
DEV_Q8TEU8,DEV_Q8TEU8,Q8TEU8,WFIKKN2,0.0,0.0
DEV_Q969Z4,DEV_Q969Z4,Q969Z4,RELT,0.0,0.0
DEV_Q96AP7,DEV_Q96AP7,Q96AP7,ESAM,0.0,0.0
DEV_Q96QR1,DEV_Q96QR1,Q96QR1,SCGB3A1,0.0,0.0
DEV_Q96RD9,DEV_Q96RD9,Q96RD9,FCRL5,0.0,0.0
DEV_Q99497,DEV_Q99497,Q99497,PARK7,0.0,0.0
DEV_Q99538,DEV_Q99538,Q99538,LGMN,0.0,0.0
DEV_Q99972,DEV_Q99972,Q99972,MYOC,0.0,0.0
DEV_Q99983,DEV_Q99983,Q99983,OMD,0.0,0.0
DEV_Q9BY76,DEV_Q9BY76,Q9BY76,ANGPTL4,0.0,0.0
DEV_Q9NNX6,DEV_Q9NNX6,Q9NNX6,CD209,0.0,0.0
DEV_Q9NQ38,DEV_Q9NQ38,Q9NQ38,SPINK5,0.0,0.0
DEV_Q9NZV1,DEV_Q9NZV1,Q9NZV1,CRIM1,0.0,0.0
DEV_Q9UBP4,DEV_Q9UBP4,Q9UBP4,DKK3,0.0,0.0
DEV_Q9UBX1,DEV_Q9UBX1,Q9UBX1,CTSF,0.0,0.0
DEV_Q9UKJ1,DEV_Q9UKJ1,Q9UKJ1,PILRA,0.0,0.0
DEV_Q9UKK9,DEV_Q9UKK9,Q9UKK9,NUDT5,0.0,0.0
DEV_Q9Y240,DEV_Q9Y240,Q9Y240,CLEC11A,0.0,0.0
DEV_Q9Y279,DEV_Q9Y279,Q9Y279,VSIG4,0.0,0.0
DEV_Q9Y6N7,DEV_Q9Y6N7,Q9Y6N7,ROBO1,0.0,0.0
INF_O00300,INF_O00300,O00300,TNFRSF11B,0.18487394957983194,0.07526881720430108
INF_O14625,INF_O14625,O14625,CXCL11,0.025210084033613446,0.021505376344086023
INF_O14788,INF_O14788,O14788,TNFSF11,0.0,0.0
INF_O15169,INF_O15169,O15169,AXIN1,0.025210084033613446,0.0
INF_O15444,INF_O15444,O15444,CCL25,0.04201680672268908,0.021505376344086023
INF_O43508,INF_O43508,O43508,TNFSF12,0.0,0.0
INF_O43557,INF_O43557,O43557,TNFSF14,0.058823529411764705,0.03225806451612903
INF_O95630,INF_O95630,O95630,STAMBP,0.01680672268907563,0.0
INF_O95750,INF_O95750,O95750,FGF19,0.03361344537815126,0.021505376344086023
INF_O95760,INF_O95760,O95760,IL33,0.04201680672268908,0.03225806451612903
INF_P00749,INF_P00749,P00749,PLAU,0.025210084033613446,0.010752688172043012
INF_P00813,INF_P00813,P00813,ADA,0.058823529411764705,0.053763440860215055
INF_P01135,INF_P01135,P01135,TGFA,0.1092436974789916,0.06451612903225806
INF_P01137,INF_P01137,P01137,TGFB1,0.03361344537815126,0.043010752688172046
INF_P01138,INF_P01138,P01138,NGF,0.07563025210084033,0.03225806451612903
INF_P01374,INF_P01374,P01374,LTA,0.008403361344537815,0.0
INF_P01375,INF_P01375,P01375,TNF,0.058823529411764705,0.03225806451612903
INF_P01579,INF_P01579,P01579,IFNG,0.01680672268907563,0.0
INF_P01583,INF_P01583,P01583,IL1A,0.025210084033613446,0.08602150537634409
INF_P01732,INF_P01732,P01732,CD8A,0.0,0.0
INF_P02778,INF_P02778,P02778,CXCL10,0.03361344537815126,0.06451612903225806
INF_P03956,INF_P03956,P03956,MMP1,0.0,0.0
INF_P05112,INF_P05112,P05112,IL4,0.09243697478991597,0.07526881720430108
INF_P05113,INF_P05113,P05113,IL5,0.12605042016806722,0.13978494623655913
INF_P05231,INF_P05231,P05231,IL6,0.15966386554621848,0.11827956989247312
INF_P06127,INF_P06127,P06127,CD5,0.07563025210084033,0.03225806451612903
INF_P09238,INF_P09238,P09238,MMP10,0.06722689075630252,0.021505376344086023
INF_P09341,INF_P09341,P09341,CXCL1,0.01680672268907563,0.010752688172043012
INF_P09603,INF_P09603,P09603,CSF1,0.05042016806722689,0.053763440860215055
INF_P10145,INF_P10145,P10145,IL8,0.09243697478991597,0.021505376344086023
INF_P10147,INF_P10147,P10147,CCL3,0.13445378151260504,0.08602150537634409
INF_P13232,INF_P13232,P13232,IL7,0.03361344537815126,0.03225806451612903
INF_P13236,INF_P13236,P13236,CCL4,0.058823529411764705,0.07526881720430108
INF_P13500,INF_P13500,P13500,CCL2,0.03361344537815126,0.053763440860215055
INF_P13725,INF_P13725,P13725,OSM,0.13445378151260504,0.043010752688172046
INF_P14210,INF_P14210,P14210,HGF,0.14285714285714285,0.07526881720430108
INF_P14784,INF_P14784,P14784,IL2RB,0.03361344537815126,0.053763440860215055
INF_P15018,INF_P15018,P15018,LIF,0.14285714285714285,0.1827956989247312
INF_P15692,INF_P15692,P15692,VEGFA,0.10084033613445378,0.07526881720430108
INF_P20783,INF_P20783,P20783,NTF3,0.04201680672268908,0.06451612903225806
INF_P21583,INF_P21583,P21583,KITLG,0.0,0.0
INF_P22301,INF_P22301,P22301,IL10,0.058823529411764705,0.03225806451612903
INF_P25942,INF_P25942,P25942,CD40,0.07563025210084033,0.010752688172043012
INF_P28325,INF_P28325,P28325,CST5,0.058823529411764705,0.06451612903225806
INF_P29460,INF_P29460,P29460,IL12B,0.01680672268907563,0.010752688172043012
INF_P35225,INF_P35225,P35225,IL13,0.03361344537815126,0.043010752688172046
INF_P39905,INF_P39905,P39905,GDNF,0.07563025210084033,0.06451612903225806
INF_P42702,INF_P42702,P42702,LIFR,0.1092436974789916,0.021505376344086023
INF_P42830,INF_P42830,P42830,CXCL5,0.0,0.0
INF_P49771,INF_P49771,P49771,FLT3LG,0.01680672268907563,0.0
INF_P50225,INF_P50225,P50225,SULT1A1,0.025210084033613446,0.0
INF_P50591,INF_P50591,P50591,TNFSF10,0.008403361344537815,0.021505376344086023
INF_P51671,INF_P51671,P51671,CCL11,0.05042016806722689,0.021505376344086023
INF_P55773,INF_P55773,P55773,CCL23,0.0,0.010752688172043012
INF_P60568,INF_P60568,P60568,IL2,0.01680672268907563,0.010752688172043012
INF_P78423,INF_P78423,P78423,CX3CL1,0.03361344537815126,0.0
INF_P78556,INF_P78556,P78556,CCL20,0.21008403361344538,0.13978494623655913
INF_P80075,INF_P80075,P80075,CCL8,0.025210084033613446,0.03225806451612903
INF_P80098,INF_P80098,P80098,CCL7,0.08403361344537816,0.07526881720430108
INF_P80162,INF_P80162,P80162,CXCL6,0.008403361344537815,0.010752688172043012
INF_P80511,INF_P80511,P80511,S100A12,0.06722689075630252,0.053763440860215055
INF_Q07011,INF_Q07011,Q07011,TNFRSF9,0.058823529411764705,0.010752688172043012
INF_Q07325,INF_Q07325,Q07325,CXCL9,0.05042016806722689,0.043010752688172046
INF_Q08334,INF_Q08334,Q08334,IL10RB,0.05042016806722689,0.053763440860215055
INF_Q13007,INF_Q13007,Q13007,IL24,0.04201680672268908,0.021505376344086023
INF_Q13261,INF_Q13261,Q13261,IL15RA,0.06722689075630252,0.021505376344086023
INF_Q13291,INF_Q13291,Q13291,SLAMF1,0.17647058823529413,0.021505376344086023
INF_Q13478,INF_Q13478,Q13478,IL18R1,0.17647058823529413,0.043010752688172046
INF_Q13541,INF_Q13541,Q13541,EIF4EBP1,0.008403361344537815,0.0
INF_Q13651,INF_Q13651,Q13651,IL10RA,0.10084033613445378,0.08602150537634409
INF_Q14116,INF_Q14116,Q14116,IL18,0.025210084033613446,0.06451612903225806
INF_Q14790,INF_Q14790,Q14790,CASP8,0.01680672268907563,0.010752688172043012
INF_Q16552,INF_Q16552,Q16552,IL17A,0.06722689075630252,0.053763440860215055
INF_Q5T4W7,INF_Q5T4W7,Q5T4W7,ARTN,0.10084033613445378,0.043010752688172046
INF_Q8IXJ6,INF_Q8IXJ6,Q8IXJ6,SIRT2,0.008403361344537815,0.0
INF_Q8N6P7,INF_Q8N6P7,Q8N6P7,IL22RA1,0.01680672268907563,0.010752688172043012
INF_Q8NF90,INF_Q8NF90,Q8NF90,FGF5,0.04201680672268908,0.021505376344086023
INF_Q8NFT8,INF_Q8NFT8,Q8NFT8,DNER,0.0,0.0
INF_Q8WWJ7,INF_Q8WWJ7,Q8WWJ7,CD6,0.025210084033613446,0.0
INF_Q969D9,INF_Q969D9,Q969D9,TSLP,0.07563025210084033,0.053763440860215055
INF_Q99616,INF_Q99616,Q99616,CCL13,0.01680672268907563,0.021505376344086023
INF_Q99731,INF_Q99731,Q99731,CCL19,0.09243697478991597,0.07526881720430108
INF_Q99748,INF_Q99748,Q99748,NRTN,0.05042016806722689,0.03225806451612903
INF_Q9BZW8,INF_Q9BZW8,Q9BZW8,CD244,0.07563025210084033,0.03225806451612903
INF_Q9GZV9,INF_Q9GZV9,Q9GZV9,FGF23,0.11764705882352941,0.12903225806451613
INF_Q9H5V8,INF_Q9H5V8,Q9H5V8,CDCP1,0.19327731092436976,0.12903225806451613
INF_Q9NRJ3,INF_Q9NRJ3,Q9NRJ3,CCL28,0.04201680672268908,0.053763440860215055
INF_Q9NSA1,INF_Q9NSA1,Q9NSA1,FGF21,0.13445378151260504,0.0967741935483871
INF_Q9NYY1,INF_Q9NYY1,Q9NYY1,IL20,0.06722689075630252,0.06451612903225806
INF_Q9NZQ7,INF_Q9NZQ7,Q9NZQ7,CD274,0.09243697478991597,0.043010752688172046
INF_Q9P0M4,INF_Q9P0M4,Q9P0M4,IL17C,0.07563025210084033,0.043010752688172046
INF_Q9UHF4,INF_Q9UHF4,Q9UHF4,IL20RA,0.09243697478991597,0.053763440860215055
IRE_O00273,IRE_O00273,O00273,DFFA,0.0,0.0
IRE_O14867,IRE_O14867,O14867,BACH1,0.0,0.0
IRE_O43597,IRE_O43597,O43597,SPRY2,0.0,0.0
IRE_O43736,IRE_O43736,O43736,ITM2A,0.0,0.0
IRE_O60449,IRE_O60449,O60449,LY75,0.0,0.0
IRE_O60880,IRE_O60880,O60880,SH2D1A,0.0,0.0
IRE_O75475,IRE_O75475,O75475,PSIP1,0.0,0.0
IRE_O76036,IRE_O76036,O76036,NCR1,0.0,0.0
IRE_O94992,IRE_O94992,O94992,HEXIM1,0.0,0.0
IRE_O95786,IRE_O95786,O95786,DDX58,0.0,0.0
IRE_P05113,IRE_P05113,P05113,IL5,0.0,0.0
IRE_P05231,IRE_P05231,P05231,IL6,0.0,0.0
IRE_P05412,IRE_P05412,P05412,JUN,0.0,0.0
IRE_P08727,IRE_P08727,P08727,KRT19,0.0,0.0
IRE_P09038,IRE_P09038,P09038,FGF2,0.0,0.0
IRE_P10747,IRE_P10747,P10747,CD28,0.0,0.0
IRE_P14317,IRE_P14317,P14317,HCLS1,0.0,0.0
IRE_P15514,IRE_P15514,P15514,"AREG,AREGB",0.0,0.0
IRE_P16278,IRE_P16278,P16278,GLB1,0.0,0.0
IRE_P16455,IRE_P16455,P16455,MGMT,0.0,0.0
IRE_P18564,IRE_P18564,P18564,ITGB6,0.0,0.0
IRE_P18627,IRE_P18627,P18627,LAG3,0.0,0.0
IRE_P19474,IRE_P19474,P19474,TRIM21,0.0,0.0
IRE_P22301,IRE_P22301,P22301,IL10,0.0,0.0
IRE_P23229,IRE_P23229,P23229,ITGA6,0.0,0.0
IRE_P27540,IRE_P27540,P27540,ARNT,0.0,0.0
IRE_P28845,IRE_P28845,P28845,HSD11B1,0.0,0.0
IRE_P30044,IRE_P30044,P30044,PRDX5,0.0,0.0
IRE_P30048,IRE_P30048,P30048,PRDX3,0.0,0.0
IRE_P34130,IRE_P34130,P34130,NTF4,0.0,0.0
IRE_P35240,IRE_P35240,P35240,NF2,0.0,0.0
IRE_P42701,IRE_P42701,P42701,IL12RB1,0.0,0.0
IRE_P48061,IRE_P48061,P48061,CXCL12,0.0,0.0
IRE_P48740,IRE_P48740,P48740,MASP1,0.0,0.0
IRE_P50135,IRE_P50135,P50135,HNMT,0.0,0.0
IRE_P51617,IRE_P51617,P51617,IRAK1,0.0,0.0
IRE_P51671,IRE_P51671,P51671,CCL11,0.0,0.0
IRE_P52294,IRE_P52294,P52294,KPNA1,0.0,0.0
IRE_P52823,IRE_P52823,P52823,STC1,0.0,0.0
IRE_P58499,IRE_P58499,P58499,FAM3B,0.0,0.0
IRE_P63241,IRE_P63241,P63241,EIF5A,0.0,0.0
IRE_P78310,IRE_P78310,P78310,CXADR,0.0,0.0
IRE_P78362,IRE_P78362,P78362,SRPK2,0.0,0.0
IRE_P78410,IRE_P78410,P78410,BTN3A2,0.0,0.0
IRE_Q00978,IRE_Q00978,Q00978,IRF9,0.0,0.0
IRE_Q01151,IRE_Q01151,Q01151,CD83,0.0,0.0
IRE_Q03431,IRE_Q03431,Q03431,PTH1R,0.0,0.0
IRE_Q04637,IRE_Q04637,Q04637,EIF4G1,0.0,0.0
IRE_Q04759,IRE_Q04759,Q04759,PRKCQ,0.0,0.0
IRE_Q05084,IRE_Q05084,Q05084,ICA1,0.0,0.0
IRE_Q05516,IRE_Q05516,Q05516,ZBTB16,0.0,0.0
IRE_Q06830,IRE_Q06830,Q06830,PRDX1,0.0,0.0
IRE_Q07065,IRE_Q07065,Q07065,CKAP4,0.0,0.0
IRE_Q12933,IRE_Q12933,Q12933,TRAF2,0.0,0.0
IRE_Q12968,IRE_Q12968,Q12968,NFATC3,0.0,0.0
IRE_Q13241,IRE_Q13241,Q13241,KLRD1,0.0,0.0
IRE_Q13490,IRE_Q13490,Q13490,BIRC2,0.0,0.0
IRE_Q13574,IRE_Q13574,Q13574,DGKZ,0.0,0.0
IRE_Q14203,IRE_Q14203,Q14203,DCTN1,0.0,0.0
IRE_Q14435,IRE_Q14435,Q14435,GALNT3,0.0,0.0
IRE_Q15517,IRE_Q15517,Q15517,CDSN,0.0,0.0
IRE_Q15661,IRE_Q15661,Q15661,TPSAB1,0.0,0.0
IRE_Q6DN72,IRE_Q6DN72,Q6DN72,FCRL6,0.0,0.0
IRE_Q6EIG7,IRE_Q6EIG7,Q6EIG7,CLEC6A,0.0,0.0
IRE_Q6UXB4,IRE_Q6UXB4,Q6UXB4,CLEC4G,0.0,0.0
IRE_Q6ZUJ8,IRE_Q6ZUJ8,Q6ZUJ8,PIK3AP1,0.0,0.0
IRE_Q7Z6M3,IRE_Q7Z6M3,Q7Z6M3,MILR1,0.0,0.0
IRE_Q8IU57,IRE_Q8IU57,Q8IU57,IFNLR1,0.0,0.0
IRE_Q8N608,IRE_Q8N608,Q8N608,DPP10,0.0,0.0
IRE_Q8NHJ6,IRE_Q8NHJ6,Q8NHJ6,LILRB4,0.0,0.0
IRE_Q8WTT0,IRE_Q8WTT0,Q8WTT0,CLEC4C,0.0,0.0
IRE_Q8WXI8,IRE_Q8WXI8,Q8WXI8,CLEC4D,0.0,0.0
IRE_Q92844,IRE_Q92844,Q92844,TANK,0.0,0.0
IRE_Q96DB9,IRE_Q96DB9,Q96DB9,FXYD5,0.0,0.0
IRE_Q96P31,IRE_Q96P31,Q96P31,FCRL3,0.0,0.0
IRE_Q96PD2,IRE_Q96PD2,Q96PD2,DCBLD2,0.0,0.0
IRE_Q96SB3,IRE_Q96SB3,Q96SB3,PPP1R9B,0.0,0.0
IRE_Q9BXN2,IRE_Q9BXN2,Q9BXN2,CLEC7A,0.0,0.0
IRE_Q9C035,IRE_Q9C035,Q9C035,TRIM5,0.0,0.0
IRE_Q9GZT9,IRE_Q9GZT9,Q9GZT9,EGLN1,0.0,0.0
IRE_Q9HCM2,IRE_Q9HCM2,Q9HCM2,PLXNA4,0.0,0.0
IRE_Q9NP99,IRE_Q9NP99,Q9NP99,TREM1,0.0,0.0
IRE_Q9NWZ3,IRE_Q9NWZ3,Q9NWZ3,IRAK4,0.0,0.0
IRE_Q9UHC6,IRE_Q9UHC6,Q9UHC6,CNTNAP2,0.0,0.0
IRE_Q9UKX5,IRE_Q9UKX5,Q9UKX5,ITGA11,0.0,0.0
IRE_Q9UMR7,IRE_Q9UMR7,Q9UMR7,CLEC4A,0.0,0.0
IRE_Q9UN19,IRE_Q9UN19,Q9UN19,DAPP1,0.0,0.0
IRE_Q9UNE0,IRE_Q9UNE0,Q9UNE0,EDAR,0.0,0.0
IRE_Q9UQQ2,IRE_Q9UQQ2,Q9UQQ2,SH2B3,0.0,0.0
IRE_Q9UQV4,IRE_Q9UQV4,Q9UQV4,LAMP3,0.0,0.0
IRE_Q9Y2J8,IRE_Q9Y2J8,Q9Y2J8,PADI2,0.0,0.0
IRE_Q9Y3P8,IRE_Q9Y3P8,Q9Y3P8,SIT1,0.0,0.0
MET_A6NI73,MET_A6NI73,A6NI73,LILRA5,0.0,0.0
MET_NT-proBNP,MET_NT-proBNP,NT-proBNP,NT-proBNP,0.0,0.0
MET_O00161,MET_O00161,O00161,SNAP23,0.0,0.0
MET_O15123,MET_O15123,O15123,ANGPT2,0.0,0.0
MET_O43240,MET_O43240,O43240,KLK10,0.0,0.0
MET_O43827,MET_O43827,O43827,ANGPTL7,0.0,0.0
MET_O75356,MET_O75356,O75356,ENTPD5,0.0,0.0
MET_O75791,MET_O75791,O75791,GRAP2,0.0,0.0
MET_O95502,MET_O95502,O95502,NPTXR,0.0,0.0
MET_O95544,MET_O95544,O95544,NADK,0.0,0.0
MET_O95841,MET_O95841,O95841,ANGPTL1,0.0,0.0
MET_P00352,MET_P00352,P00352,ALDH1A1,0.0,0.0
MET_P01222,MET_P01222,P01222,TSHB,0.0,0.0
MET_P05089,MET_P05089,P05089,ARG1,0.0,0.0
MET_P09104,MET_P09104,P09104,ENO2,0.0,0.0
MET_P09417,MET_P09417,P09417,QDPR,0.0,0.0
MET_P09467,MET_P09467,P09467,FBP1,0.0,0.0
MET_P09525,MET_P09525,P09525,ANXA4,0.0,0.0
MET_P09668,MET_P09668,P09668,CTSH,0.0,0.0
MET_P12724,MET_P12724,P12724,RNASE3,0.0,0.0
MET_P13611,MET_P13611,P13611,VCAN,0.0,0.0
MET_P16083,MET_P16083,P16083,NQO2,0.0,0.0
MET_P19022,MET_P19022,P19022,CDH2,0.0,0.0
MET_P19971,MET_P19971,P19971,TYMP,0.0,0.0
MET_P20711,MET_P20711,P20711,DDC,0.0,0.0
MET_P21964,MET_P21964,P21964,COMT,0.0,0.0
MET_P22466,MET_P22466,P22466,GAL,0.0,0.0
MET_P23526,MET_P23526,P23526,AHCY,0.0,0.0
MET_P25815,MET_P25815,P25815,S100P,0.0,0.0
MET_P26010,MET_P26010,P26010,ITGB7,0.0,0.0
MET_P27695,MET_P27695,P27695,APEX1,0.0,0.0
MET_P29017,MET_P29017,P29017,CD1C,0.0,0.0
MET_P31431,MET_P31431,P31431,SDC4,0.0,0.0
MET_P35237,MET_P35237,P35237,SERPINB6,0.0,0.0
MET_P35754,MET_P35754,P35754,GLRX,0.0,0.0
MET_P40259,MET_P40259,P40259,CD79B,0.0,0.0
MET_P40818,MET_P40818,P40818,USP8,0.0,0.0
MET_P41236,MET_P41236,P41236,PPP1R2,0.0,0.0
MET_P43234,MET_P43234,P43234,CTSO,0.0,0.0
MET_P46109,MET_P46109,P46109,CRKL,0.0,0.0
