index,name,uniprot,gene_name,outlier_frequency_in_diabetes,outlier_frequency_in_pre_diab
CAM_Q9UGM5,CAM_Q9UGM5,Q9UGM5,FETUB,0.0,0.0
CAM_Q9Y5C1,CAM_Q9Y5C1,Q9Y5C1,ANGPTL3,0.0,0.0
CAM_Q9Y5Y7,CAM_Q9Y5Y7,Q9Y5Y7,LYVE1,0.0,0.0
CRE_A4D1B5,CRE_A4D1B5,A4D1B5,GSAP,0.0,0.0
CRE_O00220,CRE_O00220,O00220,TNFRSF10A,0.0,0.0
CRE_O00221,CRE_O00221,O00221,NFKBIE,0.0,0.0
CRE_O00451,CRE_O00451,O00451,GFRA2,0.0,0.0
CRE_O14662,CRE_O14662,O14662,STX16,0.0,0.0
CRE_O14904,CRE_O14904,O14904,WNT9A,0.0,0.0
CRE_O14917,CRE_O14917,O14917,PCDH17,0.0,0.0
CRE_O43186,CRE_O43186,O43186,CRX,0.0,0.0
CRE_O43521-2,CRE_O43521-2,O43521,BCL2L11,0.0,0.0
CRE_O43699,CRE_O43699,O43699,SIGLEC6,0.0,0.0
CRE_O43752,CRE_O43752,O43752,STX6,0.0,0.0
CRE_O43915,CRE_O43915,O43915,FIGF,0.0,0.0
CRE_O60243,CRE_O60243,O60243,HS6ST1,0.0,0.0
CRE_O75054,CRE_O75054,O75054,IGSF3,0.0,0.0
CRE_O75354,CRE_O75354,O75354,ENTPD6,0.0,0.0
CRE_O94760,CRE_O94760,O94760,DDAH1,0.0,0.0
CRE_O95183,CRE_O95183,O95183,VAMP5,0.0,0.0
CRE_O95644,CRE_O95644,O95644,NFATC1,0.0,0.0
CRE_O95988,CRE_O95988,O95988,TCL1B,0.0,0.0
CRE_O96013,CRE_O96013,O96013,PAK4,0.0,0.0
CRE_P01242,CRE_P01242,P01242,GH2,0.0,0.0
CRE_P01275,CRE_P01275,P01275,GCG,0.0,0.0
CRE_P02462,CRE_P02462,P02462,COL4A1,0.0,0.0
CRE_P04637,CRE_P04637,P04637,TP53,0.0,0.0
